,true_answer,model_answer,question
138807,Sarah Vaughan,"What is ""What is Sarah Vaughn in Jazz Standards?""","'<a href=""http://www.j-archive.com/media/2011-11-23_DJ_08.jpg"" target=""_blank"">Standards</a> like ""Lover Man"" & ""Misty""'"
167877,Teddy Roosevelt,Who was Theodore Roosevelt?,"'""African Game Trails""'"
70566,"""The Grand Old Opry""",What is the Grand Ole Opry?,"'Skilled banjo player Uncle Dave Macon was an early star on this popular radio show aka ""The WSM Barn Dance""'"
202023,the Revolutionary War,What is the American Revolutionary War?,"'In the Battle of Germantown in this war, drunk U.S. General Adam Stephen had his men fire on Anthony Wayne's'"
1224,The River Jordan,What is the Jordan River?,'The Sea of Galilee is just a broad basin of this river'
44074,the Captain & Tenille,Who are Captain and Tennille?,'Love has kept this pop singing duo together since their 1975 wedding'
85805,an opposing thumb,What is a opposable thumb?,"'(<a href=""http://www.j-archive.com/media/2007-12-12_DJ_20.wmv"">Sarah of the Clue Crew reads as a monkey assists its master at Helping Hands in Boston, MA.</a>) Monkeys are suited to work because they are smart & nimble, & their hands have this feature that lets them pick up objects easily'"
105326,Jersey Joe Walcott,"What is ""Jersey Joe""?","'Geographic nickname of boxer Joe Walcott, shown what exit to take when he was KO'd in '52 by Rocky Marciano'"
67033,Slew,"What is ""slayed""?","'Slang for a large amount, it's also the past tense of ""slay""'"
14196,Macheath/Mackie Messer/Mack the Knife,What is Mack?,"'It's the last name of the gangster protagonist of Bertolt Brecht's ""Threepenny Opera""'"
105079,Millie (the Bush family dog),"Who is George H. W. Bush's dog, and what is his name?",'In 1997 this 12-year-old Springer Spaniel passed away at home in Kennebunkport'
150731,Pee-Wee\'s Playhouse,What is Pee-wee's Playhouse?,"'S. Epatha Merkerson payed Reba, the mail lady, on this Saturday morning series starring Paul Reubens'"
190630,Fred Astaire & Ginger Rogers,Who are Fred Astaire and Ginger Rogers?,"'It's often been said of these dancers that she did everything he did, but backwards and in high heels'"
78940,Rev. Jesse Jackson,Who is Jesse Jackson?,'He delivered eulogies for Jackie Robinson in 1972 & Cleveland mayor Carl Stokes in 1996'
141690,the epitome,What is an epitome?,'The best example of something'
115385,wearing one\'s heart on one\'s sleeve,"What is ""wearing your heart on your sleeve""?",'Clothing phrase for showing one's feelings plainly'
206514,John Kennedy,Who is President John F. Kennedy?,'In April 1961 he signed off on a disastrous invasion of a neighboring country'
139590,the Flying Fortress,"What is the nickname for the B-17 bomber, the ""Flying Fortress""?",'This nickname given a bomber at a 1935 test flight reflected the early belief that it wouldn't need fighter protection'
23171,the Pueblo,What is the USS Pueblo?,"'After 11 months in captivity, crew of this ship was released by N. Koreans'"
48585,greyhound/dog racing,What is greyhound racing?,"'Legalized in Florida in 1931, this track sport was devised by Owen Patrick Smith'"
9575,a kill,"What is a ""kill shot""?","'(<a href=""http://www.j-archive.com/media/2009-05-25_J_27.wmv"">Jimmy of the Clue Crew reports from Hermosa Beach, CA.</a>)  It's the lethal term for an attack that results in an immediate point or side-out; it can be a gentle dink as well as a dramatic spike'"
143493,the gentlemen of Verona,"What is ""Romeo and Juliet""?","'""To be in love--where scorn is bought with groans"" protests Valentine, one of this title pair'"
81511,a goose egg,"What is ""Goose Egg""?",'Avian term for a big fat zero'
165784,a cover-up,"What is ""cover-up""?",'A strategy for concealing an unethical act; the Watergate one was famous'
177890,"Montpelier, Vermont",What is Montpelier?,"'It's nicknamed ""The Green Mountain City""'"
95152,fertilization & irrigation,What is fertilization and irrigation?,"'(<a href=""http://www.j-archive.com/media/2010-06-10_DJ_28.wmv"">Sarah of the clue reports from Kibbutz Amiad in Israel.</a>)  Amiad develops techniques to aid the growth of crops via existing watering systems; it's called ""fertigation"", the combination of these two words'"
60078,Luke\'s nukes,"What is ""Luke's nukes""?","'""Beloved physician""'s atomic weapons'"
136856,Cowgirl Hall of Fame,What is the National Cowgirl Museum and Hall of Fame?,"'As you'd expect, Annie Oakley & Dale Evans are honorees at this national hall of fame in Fort Worth, Texas'"
71543,Lazarus,What is the name of the man Jesus commanded to come forth?,"'Jesus ""cried out with a loud voice"" & commanded this dead man to ""come forth""'"
57640,Grant & Sherman,Who were Ulysses S. Grant and William Tecumseh Sherman?,'The Library of America has a boxed set of the memoirs of these 2 Union generals'
195121,asphalt (asp + halt),"What is ""Asp-halt""?",'Cleopatra's cobra plus a command to stop gives us this road surface'
137216,neighbor,"What is ""neighbour""?",'The person who lives next door'
23622,Dont tread on me,"What is ""Don't Tread on Me""?","'In a policy begun in 2002 as a symbol of the War on Terrorism, U.S. Navy ships fly the 18th c. flag with this 4-word motto'"
140898,the accordion,What is an accordion?,'The reeds and keys controlling the treble on the piano type of this flexible instrument are on the right side'
175708,a cell phone,What is a cellphone?,"'Cansha hear me now, shweetie? Franmara, Inc. has a 3-oz. flask shaped like this ...$24.99 & no roaming charges!'"
78719,Susan Anthony,Who is Susan B. Anthony?,"'This Quaker & suffragist leader declared in 1873, ""This government is not a democracy... it is an odious aristocracy""'"
67675,the hole,What is a 'hole'?,'It's the common (printable) 4-letter term for a solitary confinement cell'
101575,Ireland,What is an Irish beer?,'Harp'
31416,Time (tempus),"What is ""time""?","'Ovid's famous phrase ""Tempus edax rerum"" means this is the devourer of all things'"
13782,Ile de la Cite,What is Île de la Cité?,"'Paris was founded on this island in the Seine, home of Notre Dame Cathedral'"
8790,14,What is fourteen lines?,'Sonnets are rhymed poems with this many lines'
214884,"Dr. Martin Luther King, Jr.",Who is Martin Luther King Jr.?,"'In 1968 this American leader prophetically shared, ""I've looked over and I've seen the promised land""'"
2880,a neck peck,"What is a ""neck peck""?","'A quick, casual kiss on the nape'"
66922,town halls,What is a town hall?,'The building housing local administration offices that are also used for public meetings'
186700,"Olympia(, Washington)",What is Olympia?,'This capital lies at the southern end of Puget Sound on Budd Inlet & Capitol Lake'
187687,gallow\'s humor,"What is ""gallows humor""?",'2-word term for a funny treatment of a situation that's actually very grave'
190427,Mercury (or Hermes),Who is Hermes?,'This god was upset to find that the mortal girl Apemosyne could outrun him'
168314,the Neanderthal Man,What is Neanderthal?,"'Fossils of this primitive ""man"" have been found in France & Gibraltar as well as the Neander Valley'"
208151,"""Taps""",What is taps?,'It's sounded just before the lights go out in your barracks'
55629,New York Yankees,"Who is Lawrence Peter ""Yogi"" Berra?",'Yogi Berra'
155256,fast,"What is ""Luca, hurry up"" or ""Luca, work quickly""?","'Luca Giordano was nicknamed ""Luca Fa Presto"" because he worked this way'"
39004,(Florence) Nightingale,Who is Florence Nightingale?,"'In 1853 at age 33, she became superintendent of London's Harley Street Nursing Home'"
102772,the Aztecs,What is the Aztec Empire?,'Montezuma II's reign over this civilization lasted 18 years'
203401,clams,What are oysters?,"'If they're from the East Coast, they may be eaten raw; West Coast ones like the Littleneck are usually too tough'"
143399,The Netherlands/Holland,What is the Netherlands?,'This nation opened its first opera house on the banks of the Amstel River in 1986'
208517,State Department,What is the Department of State?,'The Foreign Service Institute'
113541,splendiferous (or resplendent),"What is ""resplendent""?","'Latin splendere, ""to shine"", gives us splendid, splendor & this adjective for ""dazzling in appearance""'"
190722,G-N-E-I-S-S,"What is ""gneiss""?","'From the German for ""spark"", the variety of metamorphic rock pronounced ""nice"" is spelled this way'"
116594,the Cascades,What is the Cascade Range?,"'A mountain range in the Northwestern United States, or some big waterfalls'"
51895,I Don\'t Know,"Who is ""I Don't Know""?",'It's understood that he's the third baseman'
125633,the Mayans,Who are the Maya?,'Scholars can't read a 10-word column found in Guatemala but know it means these people had writing in 2300 B.C.'
133650,"steel wool (or SOS, or Brillo)",What is a steel wool pad?,'Use this pad of metal shavings to clean up your kids' scuffs & your great-aunt's cigarette burns'
10137,the seat,What is county seat?,'The administrative metropolis in a U.S. county'
99924,S-E-X-E-S,"What is ""The Battle of the Sexes""?","'When males take on females, it's called ""The Battle of"" these'"
80244,(Jules) Verne,Who is Jules Verne?,"'In addition to ""Twenty Thousand Leagues Under the Sea"", he wrote an 1887 story on the Civil War, ""North Against South""'"
59643,William Seward,Who is William H. Seward?,"'After retiring in 1869, this secretary of state traveled the world, including a stop in Alaska'"
76314,his wedding,What is Robert Schumann's marriage to Clara Wieck?,"'Robert Schumann's 1841 ""Spring"" symphony dealt with this important event in his life'"
151854,the Adam\'s apple,What is the Adam's apple?,"'There are 9 cartilages in the larynx, & the largest of them forms this bulge'"
74238,(Charles) Manson,Who is Charles Manson?,"'He established a commune for his ""family"" on the Spahn Ranch outside Los Angeles'"
21410,The Red Hot Chili Peppers,What is Red Hot Chili Peppers?,"'Anthony Kiedis was born in Grand Rapids, but got a Flea infestation in L.A. in 1983 & formed this band'"
200685,a brisket,What is brisket?,"'""Joy of Cooking"" recipes for this cut of beef include sweet & sour & tzimmis with potato knaidle'"
190157,a hundred,What is 100?,"'On January 12, 1906 the Dow broke this threshold number to little fanfare'"
10298,ox-tail soup,What is oxtail soup?,"'This soup is made from the tail of any beef animal, including the cow & the steer'"
154193,Jack Webb,Who is William Holden?,"'He played Artie in the movie ""Sunset Blvd."", then played a TV sergeant who patrolled Sunset Blvd.'"
213784,once bitten twice shy,"What is ""Once bitten, twice shy""?",'Once twice shy bitten'
24595,sherds (shards accepted),What is 'sherds' or 'potsherds'?,'It's the term archaeologists use for those broken pieces of pottery found during digs'
78559,"""To be or not to be; that is the question""","What is ""To be, or not to be; that is the question"" in English?","'In the German version, it's ""Sein, oder nicht sein; das ist die frage""'"
57647,L.A. Law,Who is Jimmy Smits and for what show did he win the Supporting Actor Emmy in 1990?,'1990:<br />Legal practice makes perfect for Jimmy Smits'
159857,convertible (conversion accepted),What are things that can be convertible?,"'Dollars into Yen,<br />a sofa bed,<br />a ragtop car'"
54204,(David) Garrick,Who is David Garrick?,'His triumph as Richard III in 1741 made him the leading British actor of his time'
211640,a moose,What is the Moose?,"'Of the 3 animals on Ontario, Canada's coat of arms, the one that fits the category'"
25553,Predator drones,What are Predator and Reaper drones?,'These drone aircraft controlled from Nevada have been attacking targets in Pakistan'
161013,"""Brandenburg Concertos""",What is the Brandenburg Concertos by Johann Sebastian Bach?,'1721 group of works that includes the following:'
110669,the Titanic,"What is the ""Titanic""?","'In a 1976 Clive Cussler novel, Dirk Pitt wants to raise this ship to recover a store of byzanium, a rare element'"
41202,Georges Balanchine,Who is George Balanchine?,"'Stravinsky & this Russian-born American choreographer collaborated on several ballets including ""Agon""'"
116996,the income tax,What is income tax?,"'Providing most of government revenues, it's the tax on individual & business earnings'"
32339,Canada,What is Belize?,'It's the only mainland country in the Western Hemisphere that borders only one country'
44094,"Atlanta, Georgia",What is Atlanta?,"'(<a href=""http://www.j-archive.com/media/2010-07-28_J_16.jpg"" target=""_blank"">I'm Bill Schneider.</a>)  I'm in CNN's Washington, D.C. bureau, one of 37 bureaus including Bangkok & Buenos Aires, but the network's heart & headquarters is still in this city'"
97273,"Washington, D.C.",What is Washington D.C.? (The obelisk is the Washington Monument.),'The Christmas tree seen here stood tall in this city in 1995 (it's next to a 555-foot tall obelisk)'
49846,Sulphur,What is sulfur?,"'It was used as a cleanser, bleach & medicine before it was used in gunpowder'"
114690,a widow,What is the widow?,"'When a writ of dower is issued, it normally follows a death & assigns property to this person'"
